Paper number,Strain,Inoculum size (initial biomass),Time (d),Preculture conditions,Type of substrate,Substrate mg/L,N source,mg N/L,C/N (molar base),g substrate COD/L,Medium ,Medium supplementation,"Supp concentration, mg/L",Biomass (mg dw/L),% PHB,PHB (mg/L),PHB yield,"Composition of PHA, 3HB Mol%","Composition of PHA, 3HV Mol%",Illumination ,O2 conditions,Illumination (lux),T (°C),DOI
4,R. palustris strains CGA009,100 mg L−1 as cell dry weight (CDW),14,malic RPN medium,Acetate,3600,NH4Cl,500,5.17,3.85,RPN media: yeast extract 0.2 g L−1; K2HPO4 0.5 g L−1; K2PO4 0.3 g L−1; MgSO4٠7H2O 0.4 g L−1; NaCl 0.4 g L−1; CaCl2٠2H2O 0.075 g L−1; ferric citrate 0.005 g L−1; NH4Cl 0.5 g L−1. Trace elements were supplied by adding 10 mL per liter of a solution containing: ZnSO4٠7H2O 10 mg L−1; MnCl2٠4H2O 3 mg L−1; H3BO3 30 mg L−1; CoCl2٠6H2O 30 mg L−1; CuCl2٠2H2O 1 mg L−1; NiCl2٠6H2O 2 mg L−1; NaMoO4٠2H2O 30 mg L−1,,,100.35,6.87,6.89,,,,continuous,anaerobic,150 µmol (photons) m−2 s−1,25,"Mugnai et al., 2025"
4,Cereibacter sphaeroides  strain F17,100 mg L−1 as cell dry weight (CDW),14,malic RPN medium,Acetate,3600,NH4Cl,500,5.17,3.85,RPN media: yeast extract 0.2 g L−1; K2HPO4 0.5 g L−1; K2PO4 0.3 g L−1; MgSO4٠7H2O 0.4 g L−1; NaCl 0.4 g L−1; CaCl2٠2H2O 0.075 g L−1; ferric citrate 0.005 g L−1; NH4Cl 0.5 g L−1. Trace elements were supplied by adding 10 mL per liter of a solution containing: ZnSO4٠7H2O 10 mg L−1; MnCl2٠4H2O 3 mg L−1; H3BO3 30 mg L−1; CoCl2٠6H2O 30 mg L−1; CuCl2٠2H2O 1 mg L−1; NiCl2٠6H2O 2 mg L−1; NaMoO4٠2H2O 30 mg L−1,,,100.8,65.45,65.97,,,,continuous,anaerobic,150 µmol (photons) m−2 s−1,25,"Mugnai et al., 2025"
5,Rhodobacter sphaeroides ES16,The starter culture (10%) of R. sphaeroides (contained 1.5 × 104 viable cells ml−1),2.5,,Acetate,4000,(NH4)2SO4,20,171,4.28,GA medium,glutamic acid,3800,7440,22.21,1652.424,0.22,,,,Aerobic,,35,Sangkharak et al. 2007
5,Rhodobacter sphaeroides N20,The starter culture (10%) of R. sphaeroides (contained 1.5 × 104 viable cells ml−1),2.5,,Acetate,4000,(NH4)2SO4,20,171,4.28,GA medium,-,-,8230,72.94,6002.962,0.72,,,,Aerobic,,35,Sangkharak et al. 2007
5,Rhodobacter sphaeroides U7,The starter culture (10%) of R. sphaeroides (contained 1.5 × 104 viable cells ml−1),2.5,,Acetate,4000,(NH4)2SO4,20,171,4.28,GA medium,-,-,8120,50.03,4062.436,0.5,,,,Aerobic,,35,Sangkharak et al. 2007
5,Rhodobacter sphaeroides N20 (in optimal conditions),The starter culture (10%) of R. sphaeroides (contained 1.5 × 104 viable cells ml−1),2.5,,Acetate,4000,(NH4)2SO4,20,171,4.28,GA medium,-,.,8320,95.4,7937.28,0.72,,,,Aerobic,,35,Sangkharak et al. 2007
6,Rhodopseudomonas palustris strain 42 OL,125 mg /L,3.5,,Acetate,4920,Diazotrophic,,,3.84,,,,1400,0.079,1.1,,,,continuous,,1000 W incandescent lamp giving a mean photon flux of 200 /zmol m -2 s -1,30,"De Phillips et al., 1992"
6,Rhodopseudomonas palustris strain 42 OL,125 mg /L,3.5,,Acetate,4920,NH4Cl,3000,0.56,3.84,,,,3400,0.0002058823529,0.7,0.44 and 0.75 g of cell dry weight per g of acetate,,,continuous,,1000 W incandescent lamp giving a mean photon flux of 200 /zmol m -2 s -1,30,"De Phillips et al., 1992"
6,Rhodopseudomonas palustris strain 42 OL,,1,,Acetate,4920,NH4Cl,2500,0.7,3.84,,,,,8.8,,,,,continuous,,1000 W incandescent lamp giving a mean photon flux of 200 /zmol m -2 s -1,30,"De Phillips et al., 1992"
6,Rhodopseudomonas palustris strain 42 OL,,2,,Acetate,4920,NH4CI,4500,0.39,3.84,,,,,7,,,,,continuous,,1000 W incandescent lamp giving a mean photon flux of 200 /zmol m -2 s -1,30,"De Phillips et al., 1992"
8,Rhodospirillum rubrum (ATCC 25903),,10,,Acetate,7330,NH4+,540,14.5,8.57,medium 550 R8AH,Malate,1010,1310,14.2,186.02,,,,continuous,Anaerobic,,,Brandl et al. (1989)
8,Rhodospirillum rubrum (ATCC 25903),,10,,Acetate,0,NH4+,540,0,0,medium 550 R8AH,,,300,1.1,3.3,,,,continuous,Anaerobic,,,Brandl et al. (1989)
8,Rhodospirillum rubrum (ATCC 25903),,10,,Acetate,60,NH4+,540,0.14,0.064,medium 550 R8AH,,,365,1.1,4.015,,,,continuous,Anaerobic,,,Brandl et al. (1989)
8,Rhodospirillum rubrum (ATCC 25903),,10,,Acetate,500,NH4+,540,1.48,0.64,medium 550 R8AH,,,454,2.1,9.534,,,,continuous,Anaerobic,,,Brandl et al. (1989)
8,Rhodospirillum rubrum (ATCC 25903),,-,,Acetate,1800,NH5,540,5.33,1.93,medium 550 R8AH,,,410,19.2,78.72,,,,continuous,Anaerobic,,,Brandl et al. (1989)
8,Rhodospirillum rubrum (ATCC 25903),,10,,Acetate,3600,NH4+,540,10.7,3.85,medium 550 R8AH,,,336,10.7,35.952,,,,continuous,Anaerobic,,,Brandl et al. (1989)
8,Rhodospirillum rubrum (ATCC 25903),,10,,Acetate,5400,NH4+,540,16,5.78,medium 550 R8AH,,,295,14,41.3,,,,continuous,Anaerobic,,,Brandl et al. (1989)
8,Rhodospirillum rubrum (ATCC 25903),,10,,Acetate,7210,NH4+,540,21,7.72,medium 550 R8AH,,,310,13.3,41.23,,,,continuous,Anaerobic,,,Brandl et al. (1989)
8,Rhodospirillum rubrum (ATCC 25903),,10,,Acetate,9010,NH4+,540,26,9.64,medium 550 R8AH,,,317,12.3,38.991,,,,continuous,Anaerobic,,,Brandl et al. (1989)
8,Rhodospirillum rubrum (ATCC 25903),,10,,Acetate,10810,NH4+,540,31,11.57,medium 550 R8AH,,,356,,,,,,continuous,Anaerobic,,,Brandl et al. (1989)
8,Rhodospirillum rubrum (ATCC 25903),,10,,Acetate,12610,NH4+,540,36.9,13.49,medium 550 R8AH,,,238,14,33.32,,,,continuous,Anaerobic,,,Brandl et al. (1989)
10,Rhodobacter sphaeroides RV,,0.6,,Lactate,3600,NH4+ (10 mM),180,22.2,3.85,,,,3000,0.5,15,,,,,,,,Khatipov et al. (1998)
10,Rhodobacter sphaeroides RV,,0.5,,Acetate,2400,NH4+ (10 mM),180,26.7,2.57,,,,2200,40,880,,,,,,,,Khatipov et al. (1998)
10,Rhodobacter sphaeroides RV,,0.3,,Pyruvate,3520,NH4+ (10 mM),180,8.89,3.52,,,,2300,6,138,,,,,,,,Khatipov et al. (1998)
10,Rhodobacter sphaeroides RV,,0.54,,Succinate,4720,NH4+ (10 mM),180,13.3,5.62,,,,2000,2.5,50,,,,,,,,Khatipov et al. (1998)
10,Rhodobacter sphaeroides RV,,0.6,,Glucose,7210,NH4+ (10 mM),180,26,7.71,,,,1600,8,128,,,,,,,,Khatipov et al. (1998)
10,Rhodobacter sphaeroides RV,,0.91,,Lactate,3600,NH4+ free,0,,3.85,,,,3000,12,360,,,,,,,,Khatipov et al. (1998)
