Experiment,Biomass (mg dw/L),PHB (mg/L),% PHB,PHV (mg/L),% PHV,5-ALA (micromol/L),Q10 (mg/g dw),Carotenoids (mg/g dw),Experiment,Time (d),g substrate COD/L,Type of substrate,mg N/L,C/N (molar base),mg ethanol/L,Fraction mineral medium,g NaHCO3/L,Illumination,Levulinic acid,Fe (mg Ferric citrate/L),Operation mode,% Volume exchange
108,1150,463.06,40.27,12.27,0.98,3.25,2.27,1.79,5.81,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
109,1067,384.32,36.03,38.35,3.29,22.22,1.41,1.46,4.85,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,Yes,5,Batch,100
110,1017,366.3,36.03,37.8,3.29,22.38,1.36,1.43,4.96,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,Yes,5,Batch,100
111,1500,458.17,30.54,13.35,0.95,99.68,7.88,4.37,11.69,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,Yes,10,Batch,100
112,1500,476.28,31.75,14.96,1.06,99.29,7.84,4.14,10.61,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,Yes,10,Batch,100
113,1217,390.73,24.68,10.02,0.63,7.02,7.39,4.8,8.92,6,4.97,MCCA,154.7,14.32,0.79,1,1.5,continuous,No,10,Batch,100
114,1167,366.06,24.68,9.39,0.63,7.44,7.4,4.83,9.06,6,4.97,MCCA,154.7,14.32,0.79,1,1.5,continuous,No,10,Batch,100
115,1017,276.13,30.68,8.77,0.97,4.21,1.06,3.71,4.75,6,4.97,MCCA,154.7,14.32,0.79,1,1.5,continuous,No,5,Batch,100
116,967,301.7,30.68,9.59,0.97,4.05,1.06,3.76,4.67,6,4.97,MCCA,154.7,14.32,0.79,1,1.5,continuous,No,5,Batch,100
117,1083,,,12.06,1.54,,,,,8,4.97,MCCA,154.7,14.32,0.79,1,1.5,continuous,No,5,Batch,100
118,950,,,13.09,1.54,,,,,8,4.97,MCCA,154.7,14.32,0.79,1,1.5,continuous,No,5,Batch,100
119,1516,143.01,9.13,5.52,0.89,4.13,9.95,5.71,17.94,8,4.97,MCCA,154.7,14.32,0.79,1,1.5,continuous,No,5,Batch,100
120,1655,134.42,8.86,5.07,0.89,4.21,9.65,5.66,17.15,8,4.97,MCCA,154.7,14.32,0.79,1,1.5,continuous,No,5,Batch,100
121,1867,656.65,35.18,14.94,1,9.52,6.51,4.41,12.95,12,4.97,MCCA,154.7,14.32,0.79,1,1.5,continuous,No,5,Batch,100
122,1800,598.99,33.28,16.27,1.05,9.37,7.08,4.43,13.44,12,4.97,MCCA,154.7,14.32,0.79,1,1.5,continuous,No,5,Batch,100
123,1650,393.12,30.63,12.99,1.01,6.03,8.24,5.41,14.66,6,4.97,MCCA,154.7,14.32,0.79,1,1.5,continuous,No,5,Batch,100
124,1633,412.33,32.13,13.73,1.07,6.19,7.67,5.38,14.9,6,4.97,MCCA,154.7,14.32,0.79,1,1.5,continuous,No,5,Batch,100
125,1817,248.32,25.52,37.25,2.19,5.16,5.27,4.14,10.09,6,4.97,MCCA,154.7,14.32,0.79,1,1.5,continuous,No,5,Batch,100
126,1833,249.73,25.76,41.78,2.39,4.92,5.28,4.14,10.22,6,4.97,MCCA,154.7,14.32,0.79,1,1.5,continuous,No,5,Batch,100
127,1233,475.09,31.32,28.51,1.88,9.08,3.41,5.73,19.02,5,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,50
128,1467,441.57,35.8,23.41,1.9,10.56,7.83,4.75,17.31,3,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,50
129,1467,522.92,35.65,26.84,1.83,5.87,7.99,6.71,16.27,4,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,50
130,1650,358.65,24.45,17.13,1.17,4.29,,4.76,20.57,4,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,50
131,1017,373.85,22.66,17.48,1.06,5.48,,5.61,13,4,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,50
132,1200,248.13,24.41,11.67,1.15,4.76,,6.13,15.31,5,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,50
133,1483,243.38,20.28,11.92,0.99,10.4,,5.21,15.68,6,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,50
134,1667,186.73,12.59,11.45,0.77,10.48,8.22,4.91,14.62,8,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,50
135,1550,199.99,12,16.55,0.99,8.89,8.93,5.27,13.47,9,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,50
136,1600,268.55,17.33,19.8,1.28,19.44,8.92,4.92,13.05,5,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,50
137,1567,206.17,12.89,23.06,1.44,77.78,7.98,4.73,9.47,8,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,50
138,1433,196.29,12.53,23.8,1.52,73.25,8.23,4.54,9.6,7,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,50
139,1800,154.06,10.75,28.62,2,76.35,7.98,4.22,9.34,7,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,50
140,1783,197.88,10.99,39.67,2.2,73.41,8.06,4.27,9.36,8,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,50
141,1667,298.55,17.91,53.76,3.23,87.86,7.62,3.32,11.12,7,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,50
142,1800,417.1,23.17,62.45,3.47,68.57,7.95,4.31,10.72,7,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,50
143,1817,261.34,14.65,50.96,2.86,63.57,8.81,5.54,10.55,7,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,50
144,1833,474.57,26.12,40.24,2.21,64.6,10.61,4.46,8.51,6,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,50
145,1800,603.91,32.94,47.07,2.57,65.95,9.34,4.44,8.8,6,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,50
146,1800,596.09,33.12,38.64,2.15,60.32,9.12,4.4,8.77,6,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,50
147,1667,596.01,33.11,35.47,1.97,64.52,8.75,4.74,9.3,5,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,50
148,1583,473,28.38,31.82,1.91,93.17,8.56,4.12,8.66,5,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,50
149,1200,505.25,32.25,32.71,2.09,,7.82,5.31,17.77,5,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,50
150,1433,399.73,33.31,19.8,1.65,,2.84,4.9,17.79,3,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,50
151,1317,468.42,32.68,22.76,1.59,,8.81,7.1,15.32,4,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,50
152,1683,319.15,24.24,16.71,1.27,,8.93,5.08,21.49,4,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,50
153,950,376.64,22.37,17.62,1.05,,,5.78,12.15,4,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,50
154,1200,190.45,20.05,8.96,0.94,,,5.85,14.97,5,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,50
155,1567,253.73,21.14,11.48,0.96,10.08,8.19,5.09,18.8,6,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,50
156,1567,179.6,11.46,13.34,0.85,11.03,9.31,5.03,12.79,8,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,50
157,1533,183.35,11.7,14.67,0.94,10,8.43,4.97,13.92,9,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,50
158,1550,246.35,16.07,17.05,1.11,20.79,8.24,5.14,15.48,5,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,50
159,1517,202.07,13.04,22.89,1.48,77.78,8.07,5.11,11.05,8,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,50
160,1550,196.32,12.94,22.68,1.5,75.4,8.1,4.95,10.71,7,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,50
161,1800,172.3,11.12,34.15,2.2,78.17,7.65,4.31,9.88,7,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,50
162,1783,183.2,10.18,37.68,2.09,75.79,8.02,3.96,8.75,8,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,50
163,1683,304.02,18.06,53.33,3.17,88.17,8.07,3.34,11.32,7,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,50
164,1733,445.23,25.69,53.9,3.11,66.67,8.12,3.95,9.11,7,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,50
165,1900,258.7,14.51,50.02,2.8,70.24,10.47,5.38,10.32,7,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,50
166,1817,516.06,27.16,40.36,2.12,63.1,8.91,4.58,8.91,6,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,50
167,1783,592.28,32.6,41.65,2.29,68.97,8.52,4.63,9.28,6,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,50
168,1817,591.14,33.15,38.18,2.14,61.83,10,3.92,8.4,6,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,50
169,1650,617.47,33.99,35.72,1.97,66.67,7.64,4.77,9.73,5,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,50
170,1600,495.49,30.03,33.34,2.02,92.54,7.95,4.55,6.66,5,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,50
171,1383,364.22,26.33,35.12,2.54,31.03,6.69,5.06,10.7,4,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,90
172,1483,357.67,24.11,18.96,1.28,5.24,8.57,4.62,10.1,7,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,90
173,1467,227.36,15.5,25.32,1.73,57.06,7.03,3.8,9.6,8,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,90
174,1533,194.24,12.67,17.91,1.17,,,3.6,9.54,8,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,90
175,1250,129.37,10.35,17.64,1.41,50.4,6.62,4.14,8.92,8,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,90
176,1483,173.46,11.69,13.37,0.9,51.35,9.04,4.84,10.75,8,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,90
177,1267,356.13,28.12,19.45,1.54,,6.62,4.62,17.52,9,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,90
178,1317,282.07,21.42,12.95,0.98,25.87,5.74,3.53,12.65,8,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,90
179,1450,309.57,21.35,13.09,0.9,16.03,7.39,4.73,9.53,9,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,90
180,1400,410.45,29.32,11.19,0.8,14.52,7.62,3.85,8.52,12,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,90
181,1550,386.96,24.97,13.92,0.9,37.3,6.45,2.75,4.08,12,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,90
182,1383,338.2,24.45,32.13,2.32,31.35,6.57,5.2,11.89,4,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,90
